Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Chrome 147.0.7727.56,,,20-04-2026 17:49:50,20-04-2026 17:49:51,0.336s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/lbl_WelcomeUser""), 0)",Chrome 147.0.7727.56,,,20-04-2026 17:49:51,20-04-2026 17:49:52,1.275s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/Page_STORE/btn_Logout""))",Chrome 147.0.7727.56,,,20-04-2026 17:49:52,20-04-2026 17:49:52,0.471s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/btn_Login""), 0)",Chrome 147.0.7727.56,,,20-04-2026 17:49:52,20-04-2026 17:49:53,0.795s,PASSED
closeBrowser(),Chrome 147.0.7727.56,,,20-04-2026 17:49:53,20-04-2026 17:49:53,0.273s,PASSED
,,,,,,,
Test Cases/TC_Login_006,Chrome 147.0.7727.56,Verify username is displayed in the navigation bar after successful login,,20-04-2026 17:49:53,20-04-2026 17:50:00,6.389s,PASSED
"openBrowser(""https://www.demoblaze.com"")",Chrome 147.0.7727.56,,,20-04-2026 17:49:53,20-04-2026 17:49:55,1.307s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_Login""))",Chrome 147.0.7727.56,,,20-04-2026 17:49:55,20-04-2026 17:49:56,1.535s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginUsername""), ""Coober"")",Chrome 147.0.7727.56,,,20-04-2026 17:49:56,20-04-2026 17:49:57,0.913s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginPassword""), ""123"")",Chrome 147.0.7727.56,,,20-04-2026 17:49:57,20-04-2026 17:49:58,0.685s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Chrome 147.0.7727.56,,,20-04-2026 17:49:58,20-04-2026 17:49:58,0.387s,PASSED
"verifyTextPresent(""Welcome Coober"", true)",Chrome 147.0.7727.56,,,20-04-2026 17:49:58,20-04-2026 17:50:00,1.264s,PASSED
closeBrowser(),Chrome 147.0.7727.56,,,20-04-2026 17:50:00,20-04-2026 17:50:00,0.246s,PASSED
