Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginPassword""), ""123"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:53,20-04-2026 17:53:54,0.663s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:54,20-04-2026 17:53:54,0.346s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/lbl_WelcomeUser""), 0)",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:54,20-04-2026 17:53:55,1.192s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/Page_STORE/btn_Logout""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:55,20-04-2026 17:53:56,0.577s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/btn_Login""), 0)",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:56,20-04-2026 17:53:57,0.793s,PASSED
closeBrowser(),Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:57,20-04-2026 17:53:59,2.442s,PASSED
,,,,,,,
Test Cases/TC_Login_006,Edge Chromium 147.0.3912.72,Verify username is displayed in the navigation bar after successful login,,20-04-2026 17:53:59,20-04-2026 17:54:06,6.352s,PASSED
"openBrowser(""https://www.demoblaze.com"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:53:59,20-04-2026 17:54:01,1.673s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_Login""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:01,20-04-2026 17:54:02,1.017s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginUsername""), ""Coober"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:02,20-04-2026 17:54:03,0.984s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginPassword""), ""123"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:03,20-04-2026 17:54:04,0.712s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:04,20-04-2026 17:54:04,0.329s,PASSED
"verifyTextPresent(""Welcome Coober"", true)",Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:04,20-04-2026 17:54:05,1.280s,PASSED
closeBrowser(),Edge Chromium 147.0.3912.72,,,20-04-2026 17:54:05,20-04-2026 17:54:06,0.273s,PASSED
